	S001	S002	S003	S004	S049	S050	S051	S052
seq1	21987	22053	5863	9825	20379	12388	15287	20500
seq2	1173	1389	2291	6175	92	3439	291	473
seq3	2068	434	179	169	226	738	3876	792
seq4	0	0	0	5143	0	0	0	0
seq5	0	1	2828	352	0	0	0	0
seq6	198	246	49	141	130	456	309	658
seq7	768	388	34	165	74	185	179	59
seq8	66	334	271	177	1	736	26	49
seq9	880	109	30	41	6	92	3	4
seq10	190	82	13	25	126	198	255	32
seq11	28	420	9	6	348	10	17	35
seq12	569	19	171	0	0	105	1	0
seq13	0	0	804	0	0	0	0	0
seq14	20	26	88	6	33	213	17	321
seq15	17	344	5	7	301	5	9	17
seq16	125	173	27	47	42	106	105	73
seq17	206	393	0	19	11	8	0	55
seq18	55	14	0	3	267	97	101	113
seq19	336	236	0	8	12	0	14	32
seq20	10	217	0	0	205	9	183	6
seq21	0	230	0	0	233	0	153	5
seq22	0	61	0	0	151	393	0	4
seq23	339	72	55	9	3	17	22	92
seq24	0	0	596	0	0	0	0	0
seq25	83	53	105	329	0	0	0	2
seq26	0	0	0	0	0	133	262	156
seq27	71	26	3	10	209	96	68	40
seq28	33	43	22	12	285	20	33	53
seq29	0	0	0	0	0	0	498	0
seq30	0	0	0	0	454	0	7	0
seq31	273	79	2	7	12	9	72	0
seq32	111	93	4	0	1	28	14	198
seq33	41	42	7	14	27	24	24	264
seq34	18	0	57	0	6	124	5	208
seq35	309	33	15	14	4	7	10	4
seq36	0	0	66	0	0	126	0	201
seq37	26	27	6	22	57	62	148	32
seq38	36	233	4	32	19	0	0	54
seq39	46	31	0	4	16	30	214	36
seq40	0	0	0	369	0	0	0	0
seq41	239	11	0	101	13	0	0	0
seq42	0	0	1	1	16	222	26	97
seq43	74	3	199	17	0	46	4	1
seq44	44	37	0	6	111	41	44	59
seq45	16	26	11	26	131	7	64	60
seq46	35	57	89	13	47	32	36	25
seq47	0	24	0	97	0	179	0	5
seq48	0	0	0	0	0	226	0	72
seq49	0	0	0	0	16	246	13	22
seq50	14	15	0	13	14	209	11	19
seq51	13	12	2	0	3	74	124	63
seq52	125	24	29	35	14	27	33	4
seq53	83	18	26	28	30	22	39	34
seq54	77	1	0	6	0	0	193	0
seq55	2	9	1	0	159	7	33	64
seq56	11	24	0	16	66	92	49	13
seq57	0	33	2	83	0	0	0	151
seq58	181	7	0	76	0	0	0	0
seq59	0	0	0	0	0	264	0	0
seq60	86	27	40	7	22	37	8	23
seq61	10	0	0	0	99	75	24	40
seq62	77	101	0	6	6	6	2	49
seq63	16	7	13	9	105	73	14	8
seq64	2	10	0	6	74	7	109	36
seq65	94	48	0	11	22	25	37	2
seq66	22	16	6	13	52	60	38	31
seq67	0	16	35	0	33	74	72	0
seq68	42	46	10	22	29	16	29	35
seq69	13	13	0	174	1	11	0	17
seq70	13	17	0	12	42	75	34	33
seq71	36	11	83	13	4	46	18	15
seq72	13	19	1	163	1	0	10	4
seq73	208	0	0	0	0	0	0	0
seq74	4	0	0	30	25	86	28	17
seq75	106	0	21	0	0	50	7	0
seq76	1	10	157	10	0	0	0	5
seq77	10	23	6	10	27	22	42	42
seq78	25	19	9	7	23	43	36	19
seq79	3	0	8	18	33	48	30	36
seq80	69	25	4	2	22	18	28	4
seq81	0	0	169	0	0	0	0	0
seq82	16	61	23	10	14	4	16	25
seq83	0	0	0	1	32	95	39	0
seq84	24	22	2	7	13	24	53	18
seq85	36	27	6	13	22	18	17	22
seq86	0	2	0	0	0	77	0	79
seq87	8	10	0	62	40	3	20	14
seq88	0	0	2	7	50	2	26	67
seq89	12	16	0	6	48	13	49	9
seq90	33	33	4	9	13	20	25	14
seq91	40	18	11	10	20	15	15	19
seq92	19	10	27	8	13	44	22	5
seq93	52	43	19	22	5	4	2	1
seq94	14	20	5	7	13	14	17	58
seq95	22	19	8	15	17	18	17	29
seq96	3	22	7	6	27	36	23	21
seq97	0	0	144	0	0	0	0	0
seq98	0	0	0	0	0	0	144	0
seq99	18	8	0	27	28	3	25	35
seq100	0	143	0	0	0	0	0	0
seq101	5	1	0	1	0	75	0	60
seq102	140	0	0	0	0	0	0	0
seq103	15	33	7	7	34	18	11	15
seq104	15	1	1	1	16	2	94	9
seq105	25	51	0	0	0	5	0	58
seq106	38	21	8	19	20	4	13	16
seq107	8	17	15	2	19	30	0	46
seq108	1	7	0	126	0	0	0	0
seq109	53	51	14	13	0	0	2	0
seq110	2	0	3	0	9	60	35	23
seq111	25	28	5	10	17	10	15	19
seq112	128	0	0	0	0	0	0	0
seq113	17	19	7	10	15	11	10	39
seq114	0	0	126	0	0	0	0	0
seq115	5	0	0	0	76	34	11	0
seq116	0	0	124	0	0	0	0	0
seq117	20	2	6	83	0	9	2	0
seq118	18	16	24	18	30	2	10	3
seq119	0	95	14	0	0	3	0	8
seq120	21	21	4	9	15	13	10	26
seq121	8	31	0	3	31	16	8	22
seq122	13	1	0	0	13	41	36	14
seq123	0	21	12	0	17	29	0	39
seq124	46	9	13	2	9	18	10	10
seq125	9	0	10	3	8	26	8	52
seq126	27	18	4	11	10	7	21	17
seq127	41	2	0	0	9	1	33	28
seq128	10	48	0	0	47	0	4	5
seq129	26	52	0	35	0	0	0	0
seq130	4	2	0	4	28	57	16	2
seq131	0	0	0	0	0	52	0	59
seq132	96	0	0	0	0	0	15	0
seq133	9	19	0	11	23	8	16	23
seq134	21	19	8	8	9	5	21	18
seq135	37	1	0	0	70	0	0	0
seq136	23	0	36	0	0	40	8	0
seq137	31	21	4	8	13	7	16	7
seq138	24	24	3	6	18	8	8	15
seq139	2	3	0	3	45	25	23	5
seq140	21	21	4	7	11	11	17	14
seq141	6	9	0	1	13	25	15	36
seq142	20	13	5	8	10	13	15	21
seq143	7	6	5	1	18	21	34	13
seq144	11	27	5	4	0	8	17	32
seq145	0	0	0	0	0	104	0	0
seq146	18	1	0	84	0	0	0	0
seq147	12	13	5	7	21	10	14	21
seq148	19	24	2	2	15	7	13	21
seq149	10	3	0	5	25	33	18	8
seq150	102	0	0	0	0	0	0	0
seq151	10	17	0	14	12	9	9	31
seq152	0	0	101	0	0	0	0	0
seq153	17	11	3	7	16	10	10	27
seq154	10	11	2	15	42	3	5	12
seq155	23	0	74	2	0	0	0	0
seq156	22	17	3	7	10	11	13	16
seq157	16	9	6	12	17	10	7	22
seq158	13	9	3	4	39	6	6	18
seq159	23	22	3	9	16	3	11	11
seq160	32	0	28	0	0	29	8	0
seq161	16	16	2	6	14	10	16	17
seq162	7	6	0	2	8	37	19	18
seq163	21	16	3	6	14	10	8	18
seq164	22	9	5	4	10	12	11	22
seq165	22	8	0	2	5	9	42	7
seq166	5	1	4	0	14	13	55	2
seq167	21	0	24	1	5	18	7	17
seq168	21	15	7	4	11	6	7	22
seq169	20	6	9	3	24	10	9	11
seq170	16	0	0	0	49	4	16	7
seq171	13	1	0	17	16	0	25	20
seq172	34	14	33	5	0	0	0	5
seq173	18	17	2	3	0	27	9	12
seq174	0	0	0	0	0	88	0	0
seq175	0	0	87	0	0	0	0	0
seq176	30	5	0	6	30	3	8	5
seq177	9	12	7	8	13	5	10	23
seq178	0	0	0	0	44	0	42	0
seq179	7	0	6	0	25	27	14	7
seq180	0	30	0	6	29	0	10	10
seq181	8	18	3	9	10	17	11	9
seq182	29	10	0	4	19	7	9	6
seq183	0	0	83	0	0	0	0	0
seq184	22	9	3	8	11	3	18	9
seq185	18	21	2	9	13	5	6	9
seq186	0	0	0	83	0	0	0	0
seq187	9	17	0	0	10	25	7	14
seq188	25	0	57	0	0	0	0	0
seq189	82	0	0	0	0	0	0	0
seq190	0	0	5	0	35	13	26	1
seq191	5	6	16	5	0	37	1	10
seq192	0	41	18	20	0	0	0	0
seq193	0	79	0	0	0	0	0	0
seq194	79	0	0	0	0	0	0	0
seq195	14	11	4	10	18	4	10	8
seq196	11	14	5	9	8	9	11	12
seq197	0	0	0	0	0	0	78	0
seq198	40	20	18	0	0	0	0	0
seq199	0	0	78	0	0	0	0	0
seq200	78	0	0	0	0	0	0	0
seq201	21	18	3	4	7	7	8	9
seq202	0	0	35	41	0	0	0	0
seq203	76	0	0	0	0	0	0	0
seq204	0	10	17	2	0	14	33	0
seq205	0	0	76	0	0	0	0	0
seq206	15	21	15	0	6	4	9	6
seq207	0	8	0	67	0	0	0	0
seq208	0	9	22	44	0	0	0	0
seq209	13	9	0	8	19	5	10	11
seq210	0	0	0	74	0	0	0	0
seq211	0	0	0	0	0	5	21	48
seq212	8	6	4	7	3	26	16	3
seq213	73	0	0	0	0	0	0	0
seq214	40	9	0	0	0	18	3	3
seq215	14	6	2	2	9	8	15	17
seq216	20	16	4	10	8	3	7	4
seq217	0	0	0	71	0	0	0	0
seq218	0	0	71	0	0	0	0	0
seq219	19	15	0	28	0	4	0	3
seq220	24	8	2	4	4	8	5	14
seq221	12	15	2	3	5	9	7	16
seq222	12	12	2	4	9	9	10	11
seq223	22	13	2	2	8	6	6	9
seq224	30	3	0	1	6	18	9	0
seq225	8	19	4	5	6	5	6	14
seq226	17	14	9	3	9	9	3	2
